"slug","vehicleName","yearRange","fuel","currentMatchedBattery","matchedSource","customerVisible","riskLevel","reason","needsReview"
"grandeur-tg","그랜저 TG","2005-2011","가솔린 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-hg","그랜저 HG","2011-2016","가솔린 | 디젤 | LPG | 하이브리드","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-ig","그랜저 IG","2016-2019","가솔린 | 디젤 | LPG | 하이브리드","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-enrichment.json | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-ig-fl","더 뉴 그랜저 IG","2019-2022","가솔린 | 디젤 | LPG | 하이브리드","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-gn7","디 올 뉴 그랜저","2022-현재","가솔린/디젤/HEV/LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | platform-catalog.ts","true","medium","이미지 파일명(grandeur_new.png)과 slug stem 불일치","true"
"sonata-nf","쏘나타 NF","2004-2010","가솔린 | 디젤 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-yf","YF 쏘나타","2009-2014","가솔린 | LPG | 하이브리드","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-lf","LF 쏘나타","2014-2019","가솔린 | 디젤 | LPG | 하이브리드 | 터보/ISG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-dn8","쏘나타 DN8","2019-2023","가솔린 | LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","medium","catalogId(sonata) ≠ slug(sonata-dn8)","true"
"sonata-edge","쏘나타 디 엣지","2023-현재","가솔린 | LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
