slug,brand,displayName,yearRange,status,representativeBattery,fuelMap,customerHeroBattery,customerCardDisplay,source,catalogMatch
grandeur-tg,hyundai,그랜저 TG,2005-2011,matched,80L,,80L,80L,operator_slug_primary,true
grandeur-hg,hyundai,그랜저 HG,2011-2016,matched,80L,"{""가솔린"":""80L"",""LPG"":""80L"",""디젤"":""90L"",""하이브리드"":""DIN74L""}",80L,80L,operator_slug_primary,true
grandeur-ig,hyundai,그랜저 IG,2016-2019,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
grandeur-ig-fl,hyundai,더 뉴 그랜저 IG,2019-2022,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
grandeur-gn7,hyundai,디 올 뉴 그랜저,2022-현재,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
sonata-nf,hyundai,쏘나타 NF,2004-2010,matched,80L,"{""가솔린"":""80L"",""LPG"":""80L"",""디젤"":""90L""}",80L,80L,operator_slug_primary,true
sonata-yf,hyundai,YF 쏘나타,2009-2014,matched,80L,"{""가솔린"":""80L"",""LPG"":""80L"",""하이브리드"":""DIN74L""}",80L,80L,operator_slug_primary,true
sonata-lf,hyundai,LF 쏘나타,2014-2019,matched,80L,"{""가솔린"":""80L"",""LPG"":""80L"",""터보/ISG"":""AGM70L"",""하이브리드"":""DIN74L""}",80L,80L,operator_slug_primary,true
sonata-dn8,hyundai,쏘나타 DN8,2019-2023,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
sonata-edge,hyundai,쏘나타 디 엣지,2023-현재,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
avante-hd,hyundai,아반떼 HD,2006-2010,matched,60AL,"{""가솔린"":""60AL"",""LPG"":""60AL"",""디젤"":""80L"",""하이브리드"":""60L""}",60AL,60AL,operator_slug_primary,true
avante-md,hyundai,아반떼 MD,2010-2015,matched,DIN62L,"{""가솔린"":""DIN62L"",""LPG"":""DIN62L"",""디젤"":""DIN62L"",""디젤 ISG"":""AGM70L""}",DIN62L,DIN62L,operator_slug_primary,true
avante-ad,hyundai,아반떼 AD,2015-2020,matched,DIN62L,"{""가솔린"":""DIN62L"",""LPG"":""DIN62L"",""디젤"":""DIN62L"",""ISG"":""AGM70L""}",DIN62L,DIN62L,operator_slug_primary,true
avante-cn7,hyundai,아반떼 CN7,2020-2023,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
avante-cn7-fl,hyundai,더 뉴 아반떼,2023-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
tucson-jm,hyundai,투싼,2004-2009,matched,90R,"{""가솔린"":""80L"",""디젤"":""90R""}",80L,90R,operator_slug_primary,true
tucson-lm,hyundai,투싼 ix,2009-2015,matched,90R,"{""가솔린"":""80L"",""디젤"":""90R""}",80L,90R,operator_slug_primary,true
tucson-tl,hyundai,올 뉴 투싼,2015-2020,matched,AGM80L,"{""가솔린"":""AGM70L"",""디젤"":""AGM80L"",""ISG"":""AGM80L"",""LPG"":""DIN74L""}",AGM70L,AGM80L,operator_slug_primary,true
tucson-nx4,hyundai,투싼 4세대,2020-2023,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
tucson-nx4-fl,hyundai,더 뉴 투싼,2023-현재,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
santafe-cm,hyundai,싼타페 CM,2006-2012,matched,90L,"{""가솔린"":""80L"",""디젤"":""90L""}",80L,90L,operator_slug_primary,true
santafe-dm,hyundai,싼타페 DM,2012-2018,matched,AGM95L,"{""가솔린"":""AGM95L"",""디젤"":""AGM95L"",""일반/초기"":""90L""}",AGM95L,AGM95L,operator_slug_primary,true
santafe-tm,hyundai,싼타페 TM,2018-2023,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
santafe-mx5,hyundai,디 올 뉴 싼타페,2023-현재,matched,AGM70L,"{""가솔린"":""AGM70L""}",AGM70L,AGM70L,operator_slug_primary,true
santafe-mx5-hev,hyundai,싼타페 하이브리드,2023-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
palisade-lx2,hyundai,팰리세이드,2019-2022,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
palisade-lx2-fl,hyundai,더 뉴 팰리세이드,2022-2024,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
palisade-lx3,hyundai,디 올 뉴 팰리세이드,2024-현재,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
staria-us4,hyundai,스타리아,2021-현재,matched,AGM80R,,AGM80R,AGM80R,operator_slug_primary,true
kona-os,hyundai,코나,2017-2023,matched,AGM60L,"{""가솔린"":""AGM60L"",""디젤"":""AGM60L"",""전기"":""AGM60L"",""하이브리드"":""판매제외""}",AGM60L,AGM60L,operator_slug_primary,true
kona-sx2,hyundai,디 올 뉴 코나,2023-현재,matched,AGM60L,"{""가솔린"":""AGM60L"",""전기"":""ev_low_voltage_battery"",""하이브리드"":""판매제외""}",AGM60L,AGM60L,operator_slug_primary,true
ioniq5-ne,hyundai,아이오닉5,2021-현재,ev_low_voltage,ev_low_voltage_battery,,EV 저전압 배터리,EV 저전압 배터리,operator_slug_primary,true
ioniq6-ce,hyundai,아이오닉6,2022-현재,ev_low_voltage,ev_low_voltage_battery,,EV 저전압 배터리,EV 저전압 배터리,operator_slug_primary,true
porter2-old,hyundai,포터2,2011-2020,matched,90R,,90R,90R,operator_slug_primary,true
porter2-new,hyundai,포터2 2020년형 이후,2020-현재,matched,100R,,100R,100R,operator_slug_primary,true
porter2-ev,hyundai,포터2 EV,2019-현재,matched,80L,,80L,80L,operator_slug_primary,true
k5-tf,kia,K5 1세대,2009-2015,matched,80L,,80L,80L,operator_slug_primary,true
k5-jf,kia,K5 2세대,2015-2019,matched,AGM80L,"{""일반"":""80L"",""ISG"":""AGM80L"",""하이브리드"":""DIN74L""}",AGM80L,AGM80L,operator_slug_primary,true
k5-dl3,kia,K5 3세대,2019-2023,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
k5-dl3-fl,kia,더 뉴 K5,2023-현재,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
k8-gl3,kia,K8,2021-2024,matched,AGM70L,"{""2.5 가솔린"":""AGM70L"",""3.5 가솔린"":""AGM80L"",""LPG"":""DIN90L"",""하이브리드"":""AGM70L""}",AGM70L,AGM70L,operator_slug_primary,true
k8-gl3-fl,kia,더 뉴 K8,2024-현재,matched,AGM70L,"{""2.5 가솔린"":""AGM70L"",""3.5 가솔린"":""AGM80L"",""LPG"":""DIN90L"",""하이브리드"":""AGM70L""}",AGM70L,AGM70L,operator_slug_primary,true
seltos-sp2,kia,셀토스,2019-2023,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
