slug,customerBattery,source,operatorOnly,hold,salesExcluded
grandeur-tg,80L,operator_slug_primary,yes,false,false
grandeur-hg,80L,operator_slug_primary,yes,false,false
grandeur-ig,AGM80L,operator_slug_primary,yes,false,false
grandeur-ig-fl,AGM80L,operator_slug_primary,yes,false,false
grandeur-gn7,AGM80L,operator_slug_primary,yes,false,false
sonata-nf,80L,operator_slug_primary,yes,false,false
sonata-yf,80L,operator_slug_primary,yes,false,false
sonata-lf,80L,operator_slug_primary,yes,false,false
sonata-dn8,AGM80L,operator_slug_primary,yes,false,false
sonata-edge,AGM80L,operator_slug_primary,yes,false,false
avante-hd,60AL,operator_slug_primary,yes,false,false
avante-md,DIN62L,operator_slug_primary,yes,false,false
avante-ad,DIN62L,operator_slug_primary,yes,false,false
avante-cn7,AGM60L,operator_slug_primary,yes,false,false
avante-cn7-fl,AGM60L,operator_slug_primary,yes,false,false
tucson-jm,90R,operator_slug_primary,yes,false,false
tucson-lm,90R,operator_slug_primary,yes,false,false
tucson-tl,AGM80L,operator_slug_primary,yes,false,false
tucson-nx4,AGM70L,operator_slug_primary,yes,false,false
tucson-nx4-fl,AGM70L,operator_slug_primary,yes,false,false
santafe-cm,90L,operator_slug_primary,yes,false,false
santafe-dm,AGM95L,operator_slug_primary,yes,false,false
santafe-tm,AGM95L,operator_slug_primary,yes,false,false
santafe-mx5,AGM70L,operator_slug_primary,yes,false,false
santafe-mx5-hev,AGM60L,operator_slug_primary,yes,false,false
palisade-lx2,AGM95L,operator_slug_primary,yes,false,false
palisade-lx2-fl,AGM95L,operator_slug_primary,yes,false,false
palisade-lx3,AGM95L,operator_slug_primary,yes,false,false
staria-us4,AGM80R,operator_slug_primary,yes,false,false
kona-os,AGM60L,operator_slug_primary,yes,false,false
kona-sx2,AGM60L,operator_slug_primary,yes,false,false
ioniq5-ne,,operator_slug_primary,yes,false,false
ioniq6-ce,,operator_slug_primary,yes,false,false
porter2-old,90R,operator_slug_primary,yes,false,false
porter2-new,100R,operator_slug_primary,yes,false,false
porter2-ev,80L,operator_slug_primary,yes,false,false
k5-tf,80L,operator_slug_primary,yes,false,false
k5-jf,AGM80L,operator_slug_primary,yes,false,false
k5-dl3,DIN74L,operator_slug_primary,yes,false,false
k5-dl3-fl,DIN74L,operator_slug_primary,yes,false,false
k8-gl3,AGM70L,operator_slug_primary,yes,false,false
k8-gl3-fl,AGM70L,operator_slug_primary,yes,false,false
seltos-sp2,AGM60L,operator_slug_primary,yes,false,false
seltos-sp2-fl,AGM60L,operator_slug_primary,yes,false,false
sportage-sl,90R,operator_slug_primary,yes,false,false
sportage-ql,AGM80L,operator_slug_primary,yes,false,false
sportage-nq5,AGM70L,operator_slug_primary,yes,false,false
sportage-nq5-fl,AGM70L,operator_slug_primary,yes,false,false
sorento-xm,90L,operator_slug_primary,yes,false,false
sorento-um,AGM95L,operator_slug_primary,yes,false,false
sorento-um-fl,AGM95L,operator_slug_primary,yes,false,false
sorento-mq4,AGM95L,operator_slug_primary,yes,false,false
sorento-mq4-fl,AGM95L,operator_slug_primary,yes,false,false
carnival-vq,100L,operator_slug_primary,yes,false,false
carnival-yp,90L,operator_slug_primary,yes,false,false
carnival-yp-fl,90L,operator_slug_primary,yes,false,false
carnival-ka4,AGM95L,operator_slug_primary,yes,false,false
carnival-ka4-fl,AGM95L,operator_slug_primary,yes,false,false
k3-yd,DIN62L,operator_slug_primary,yes,false,false
k3-bd,DIN62L,operator_slug_primary,yes,false,false
k3-bd-fl,DIN62L,operator_slug_primary,yes,false,false
morning-sa,40AL,operator_slug_primary,yes,false,false
morning-ta,40AL,operator_slug_primary,yes,false,false
morning-ja,40AL,operator_slug_primary,yes,false,false
morning-ja-fl,40AL,operator_slug_primary,yes,false,false
ray-tam,60AL,operator_slug_primary,yes,false,false
ray-tam-2fl,60AL,operator_slug_primary,yes,false,false
niro-de,DIN50L,operator_slug_primary,yes,false,false
niro-de-fl,DIN50L,operator_slug_primary,yes,false,false
niro-sg2,,none,yes,false,true
bongo3-truck,100L,operator_slug_primary,yes,false,false
bongo3-ev,80L,operator_slug_primary,yes,false,false
genesis-gv60,AGM60L,operator_slug_primary,yes,false,false
genesis-gv70,AGM80R,operator_slug_primary,yes,false,false
genesis-gv80,AGM95R,operator_slug_primary,yes,false,false
genesis-g70,AGM80L,operator_slug_primary,yes,false,false
genesis-g80-rg3,AGM95R,operator_slug_primary,yes,false,false
genesis-g80-dh,AGM105L,operator_slug_primary,yes,false,false
genesis-eq900,AGM105L,operator_slug_primary,yes,false,false
genesis-g90,AGM105L,operator_slug_primary,yes,false,false
genesis-dh,AGM105L,operator_slug_primary,yes,false,false
renault-samsung-sm3-2005,80L,operator_slug_primary,yes,false,false
renault-samsung-new-sm3-2009,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-sm3-neo-2014,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-sm3-ze-2013,,operator_slug_primary,yes,false,false
renault-samsung-sm5-new-impression-2007,80L,operator_slug_primary,yes,false,false
renault-samsung-new-sm5-2010,DIN90L,operator_slug_primary,yes,false,false
renault-samsung-sm5-nova-2015,DIN90L,operator_slug_primary,yes,false,false
renault-samsung-sm6-2016,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-the-new-sm6-2020,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-sm7-new-art-2008,80L,operator_slug_primary,yes,false,false
renault-samsung-all-new-sm7-2011,DIN90L,operator_slug_primary,yes,false,false
renault-samsung-sm7-nova-2014,DIN90L,operator_slug_primary,yes,false,false
renault-samsung-qm5-2007,80L,operator_slug_primary,yes,false,false
renault-samsung-qm3-2013,AGM70L,operator_slug_primary,yes,false,false
renault-samsung-qm6-2016,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-the-new-qm6-2019,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-qm6-quest-2023,DIN74L,operator_slug_primary,yes,false,false
renault-samsung-xm3-2020,AGM60L,operator_slug_primary,yes,false,false
renault-arkana-2024,AGM60L,operator_slug_primary,yes,false,false
renault-master-2018,AGM95L,operator_slug_primary,yes,false,false
ssangyong-tivoli-2015,80L,operator_slug_primary,yes,false,false
ssangyong-tivoli-armour-2017,80L,operator_slug_primary,yes,false,false
ssangyong-tivoli-air-2016,80L,operator_slug_primary,yes,false,false
ssangyong-tivoli-air-2021,AGM70L,operator_slug_primary,yes,false,false
ssangyong-very-new-tivoli-2019,AGM70L,operator_slug_primary,yes,false,false
kg-the-new-tivoli-2023,AGM70L,operator_slug_primary,yes,false,false
ssangyong-korando-c-2011,90R,operator_slug_primary,yes,false,false
ssangyong-new-korando-c-2013,90R,operator_slug_primary,yes,false,false
ssangyong-new-style-korando-c-2017,90R,operator_slug_primary,yes,false,false
ssangyong-viewtiful-korando-2019,90R,operator_slug_primary,yes,false,false
ssangyong-korando-emotion-2022,,operator_slug_primary,yes,false,false
ssangyong-korando-sports-2012,90R,operator_slug_primary,yes,false,false
ssangyong-korando-turismo-2013,90R,operator_slug_primary,yes,false,false
ssangyong-actyon-2005,90R,operator_slug_primary,yes,false,false
ssangyong-actyon-sports-2006,90R,operator_slug_primary,yes,false,false
ssangyong-kyron-2005,90R,operator_slug_primary,yes,false,false
ssangyong-g4-rexton-2017,90R,operator_slug_primary,yes,false,false
ssangyong-all-new-rexton-2020,90R,operator_slug_primary,yes,false,false
ssangyong-rexton-sports-2018,90R,operator_slug_primary,yes,false,false
ssangyong-rexton-sports-khan-2019,90R,operator_slug_primary,yes,false,false
ssangyong-new-chairman-2005,DIN100L,operator_slug_primary,yes,false,false
ssangyong-chairman-w-2008,DIN100L,operator_slug_primary,yes,false,false
ssangyong-rexton-2001,90R,operator_slug_primary,yes,false,false
ssangyong-musso-sports-2002,90R,operator_slug_primary,yes,false,false
kg-torres-2022,AGM70L,operator_slug_primary,yes,false,false
kg-torres-evx-2023,60R,operator_slug_primary,yes,false,false
kg-actyon-2024,AGM70L,operator_slug_primary,yes,false,false
hyundai-grand-starex-2007,90R,operator_slug_primary,yes,false,false
kia-mohave-2008,100L,operator_slug_primary,yes,false,false
kia-the-new-mohave-2016,100L,operator_slug_primary,yes,false,false
kia-mohave-the-master-2019,100L,operator_slug_primary,yes,false,false
kia-k9-2012,DIN100L,operator_slug_primary,yes,false,false
kia-the-k9-2018,AGM105L,operator_slug_primary,yes,false,false
kia-soul-2008,60AL,operator_slug_primary,yes,false,false
kia-soul-booster-2019,AGM60L,operator_slug_primary,yes,false,false
kia-carens-2006,60AL,operator_slug_primary,yes,false,false
kia-all-new-carens-2013,80L,operator_slug_primary,yes,false,false
gmdaewoo-matiz-creative-2009,DIN44L,operator_slug_primary,yes,false,false
chevrolet-spark-2011,DIN44L,operator_slug_primary,yes,false,false
chevrolet-spark-s-2013,DIN44L,operator_slug_primary,yes,false,false
chevrolet-spark-2015,DIN50L,operator_slug_primary,yes,false,false
chevrolet-spark-2018,DIN50L,operator_slug_primary,yes,false,false
chevrolet-spark-2021,DIN50L,operator_slug_primary,yes,false,false
gmdaewoo-lacetti-2006,60R,operator_slug_primary,yes,false,false
daewoo-lacetti-premiere-2008,DIN74L,operator_slug_primary,yes,false,false
chevrolet-cruze-2011,DIN74L,operator_slug_primary,yes,false,false
chevrolet-the-new-cruze-2015,DIN60L,operator_slug_primary,yes,false,false
chevrolet-all-new-cruze-2017,AGM80L,operator_slug_primary,yes,false,false
chevrolet-malibu-2011,DIN74L,operator_slug_primary,yes,false,false
chevrolet-malibu-2016,DIN74L,operator_slug_primary,yes,false,false
chevrolet-malibu-2019,AGM70L,operator_slug_primary,yes,false,false
gmdaewoo-winstorm-2006,DIN100L,operator_slug_primary,yes,false,false
chevrolet-captiva-2011,DIN100L,operator_slug_primary,yes,false,false
chevrolet-captiva-2016,DIN100L,operator_slug_primary,yes,false,false
chevrolet-trax-2013,DIN62L,operator_slug_primary,yes,false,false
chevrolet-trax-2017,DIN62L,operator_slug_primary,yes,false,false
chevrolet-trax-crossover-2023,DIN62L,operator_slug_primary,yes,false,false
chevrolet-trailblazer-2020,AGM70L,operator_slug_primary,yes,false,false
chevrolet-trailblazer-2024,AGM70L,operator_slug_primary,yes,false,false
chevrolet-orlando-2011,DIN90L,operator_slug_primary,yes,false,false
chevrolet-aveo-2011,DIN62L,operator_slug_primary,yes,false,false
gmdaewoo-gentra-x-2007,60R,operator_slug_primary,yes,false,false
daewoo-tosca-2006,80R,operator_slug_primary,yes,false,false
gmdaewoo-alpheon-2010,DIN74L,operator_slug_primary,yes,false,false
chevrolet-impala-2016,AGM80L,operator_slug_primary,yes,false,false
chevrolet-equinox-2018,AGM70L,operator_slug_primary,yes,false,false
chevrolet-equinox-2022,AGM70L,operator_slug_primary,yes,false,false
chevrolet-traverse-2019,AGM95L,operator_slug_primary,yes,false,false
chevrolet-colorado-2019,AGM70L,operator_slug_primary,yes,false,false
chevrolet-colorado-2021,AGM70L,operator_slug_primary,yes,false,false
gmdaewoo-labo-2011,50L,operator_slug_primary,yes,false,false
gmdaewoo-damas-2011,50L,operator_slug_primary,yes,false,false
chevrolet-bolt-ev-2017,AGM50L,operator_slug_primary,yes,false,false
