slug,displayName,isEvLowVoltageVehicle,matchStatus,customerDisplay,catalogMatch,fuelCardCount,allowsOrderFlow,allowsBatteryHref,salesExcluded
grandeur-tg,그랜저 TG,false,80L,80L,true,2,true,true,false
grandeur-hg,그랜저 HG,false,80L,80L,true,4,true,true,false
grandeur-ig,그랜저 IG,false,AGM80L,AGM80L,true,4,true,true,false
grandeur-ig-fl,더 뉴 그랜저 IG,false,AGM80L,AGM80L,true,4,true,true,false
grandeur-gn7,디 올 뉴 그랜저,false,AGM80L,AGM80L,true,1,true,true,false
sonata-nf,쏘나타 NF,false,80L,80L,true,3,true,true,false
sonata-yf,YF 쏘나타,false,80L,80L,true,3,true,true,false
sonata-lf,LF 쏘나타,false,80L,80L,true,5,true,true,false
sonata-dn8,쏘나타 DN8,false,AGM80L,AGM80L,true,2,true,true,false
sonata-edge,쏘나타 디 엣지,false,AGM80L,AGM80L,true,2,true,true,false
avante-hd,아반떼 HD,false,60AL,60AL,true,4,true,true,false
avante-md,아반떼 MD,false,DIN62L,DIN62L,true,4,true,true,false
avante-ad,아반떼 AD,false,DIN62L,DIN62L,true,4,true,true,false
avante-cn7,아반떼 CN7,false,AGM60L,AGM60L,true,2,true,true,false
avante-cn7-fl,더 뉴 아반떼,false,AGM60L,AGM60L,true,3,true,true,false
tucson-jm,투싼,false,90R,80L,true,2,true,true,false
tucson-lm,투싼 ix,false,90R,80L,true,2,true,true,false
tucson-tl,올 뉴 투싼,false,AGM80L,AGM70L,true,4,true,true,false
tucson-nx4,투싼 4세대,false,AGM70L,AGM70L,true,2,true,true,false
tucson-nx4-fl,더 뉴 투싼,false,AGM70L,AGM70L,true,2,true,true,false
santafe-cm,싼타페 CM,false,90L,80L,true,2,true,true,false
santafe-dm,싼타페 DM,false,AGM95L,AGM95L,true,3,true,true,false
santafe-tm,싼타페 TM,false,AGM95L,AGM95L,true,2,true,true,false
santafe-mx5,디 올 뉴 싼타페,false,AGM70L,AGM70L,true,2,true,true,false
santafe-mx5-hev,싼타페 하이브리드,false,AGM60L,AGM60L,true,2,true,true,false
palisade-lx2,팰리세이드,false,AGM95L,AGM95L,true,2,true,true,false
palisade-lx2-fl,더 뉴 팰리세이드,false,AGM95L,AGM95L,true,2,true,true,false
palisade-lx3,디 올 뉴 팰리세이드,false,AGM95L,AGM95L,true,2,true,true,false
staria-us4,스타리아,false,AGM80R,AGM80R,true,2,true,true,false
